rank,feature,importance,feature_type
1,DYNLT1,0.05816217,gene
2,PRAG1,0.05800964,gene
3,PTGER1,0.036173772,gene
4,AS3MT,0.031096991,gene
5,FGF20,0.02793564,gene
6,AIFM3,0.027175864,gene
7,CNTRL,0.026805537,gene
8,SEPT1,0.026609125,gene
9,SHC2,0.025770037,gene
10,PIM2,0.025726596,gene
11,CDPD1,0.02545892,gene
12,ERICH6,0.025145674,gene
13,DHX8,0.02443559,gene
14,EPHB4,0.024407992,gene
15,HLA-DOB,0.024194604,gene
16,TMEM200B,0.021182833,gene
17,CNGA1,0.021116242,gene
18,RAB8B,0.01964637,gene
19,TRIM7,0.018728469,gene
20,ZCCHC9,0.0176444,gene
21,YARS1,0.016978167,gene
22,DNAH9,0.016510822,gene
23,PSTPIP1,0.016461998,gene
24,CD109,0.016253049,gene
25,PBLD,0.015745465,gene
26,SHMT1,0.014628605,gene
27,TTLL11,0.014530955,gene
28,HNRNPA2B1,0.013932443,gene
29,OAZ2,0.011553352,gene
