feature,importance
Primary Lymph Node Presentation Assessment Ind-3_YES,0.074959315
Margin_x_LymphNode,0.06612637
Gleason_Total,0.06483986
DYNLT1,0.05816217
PRAG1,0.05800964
PTGER1,0.036173772
AS3MT,0.031096991
AR_Signaling_Score,0.030994207
FGF20,0.02793564
AIFM3,0.027175864
CNTRL,0.026805537
SEPT1,0.026609125
SHC2,0.025770037
PIM2,0.025726596
CDPD1,0.02545892
ERICH6,0.025145674
PSA_Pathway_Score,0.024812214
DHX8,0.02443559
EPHB4,0.024407992
HLA-DOB,0.024194604
T_Stage_Risk,0.021301186
TMEM200B,0.021182833
CNGA1,0.021116242
RAB8B,0.01964637
TRIM7,0.018728469
ZCCHC9,0.0176444
YARS1,0.016978167
DNAH9,0.016510822
PSTPIP1,0.016461998
CD109,0.016253049
PBLD,0.015745465
Proliferation_Score,0.014945399
SHMT1,0.014628605
TTLL11,0.014530955
HNRNPA2B1,0.013932443
OAZ2,0.011553352
High_Risk_Gleason,0.0
