fold,model,auc
1,Logistic Regression,0.5793269230769231
1,Random Forest,0.7259615384615384
1,SVM,0.6778846153846154
1,XGBoost,0.8004807692307692
1,LightGBM,0.8293269230769231
1,CatBoost,0.7235576923076924
2,Logistic Regression,0.78125
2,Random Forest,0.8701923076923077
2,SVM,0.7548076923076923
2,XGBoost,0.9014423076923077
2,LightGBM,0.8894230769230769
2,CatBoost,0.8076923076923076
3,Logistic Regression,0.829326923076923
3,Random Forest,0.90625
3,SVM,0.8701923076923076
3,XGBoost,0.872596153846154
3,LightGBM,0.8822115384615384
3,CatBoost,0.9110576923076924
4,Logistic Regression,0.8341346153846154
4,Random Forest,0.8798076923076923
4,SVM,0.8629807692307692
4,XGBoost,0.8894230769230769
4,LightGBM,0.9086538461538461
4,CatBoost,0.9110576923076923
5,Logistic Regression,0.8191721132897604
5,Random Forest,0.9411764705882353
5,SVM,0.8300653594771241
5,XGBoost,0.9302832244008714
5,LightGBM,0.869281045751634
5,CatBoost,0.9455337690631808
